bag_time_unix_s,candidate_id,condition_id,extent_m,frame_index,intensity_mean,lidar_rank,point_count,radial_velocity_mean_mps,voxel_count,voxel_persistence_fraction,x_m,y_m,z_m
1770273635.3389277,300m_roundtrip_10_e0022,300m_roundtrip_10,3.52888035312193,147,16.333333333333332,22,3.0,-0.06000000052154064,3.0,0.0624113475177305,320.84691365559894,54.51656977335612,-29.9241886138916
1770273636.3406007,300m_roundtrip_10_e0022,300m_roundtrip_10,0.0,148,16.5,22,2.0,0.009999999776482582,1.0,0.07659574468085106,319.6261749267578,55.7017822265625,-29.972442626953125
1770273637.3265784,300m_roundtrip_10_e0022,300m_roundtrip_10,0.0,149,12.5,22,6.0,-0.023333333743115265,1.0,0.1574468085106383,320.6942545572917,59.92567507425944,-29.61443106333415
1770273638.3287127,300m_roundtrip_10_e0022,300m_roundtrip_10,0.8156553660313045,150,20.0,22,3.0,-5.446666717529297,2.0,0.1177304964539007,324.5078531901042,60.479713439941406,-29.895584106445312
1770273639.342624,300m_roundtrip_10_e0022,300m_roundtrip_10,0.0,151,16.666666666666668,22,3.0,-0.10666666800777118,1.0,0.07234042553191489,326.14417521158856,59.94323857625326,-30.35336176554362
1770273640.3325102,300m_roundtrip_10_e0022,300m_roundtrip_10,2.1124923465989065,152,18.0,22,4.0,-0.007499999832361937,2.0,0.03297872340425532,327.87593841552734,55.971900939941406,-30.845284938812256
1770273643.3428798,300m_roundtrip_10_e0023,300m_roundtrip_10,4.248549664549615,155,14.25,23,4.0,2.1699998565018177,4.0,0.08936170212765958,389.54136657714844,-75.72850608825684,-35.074119567871094
1770273644.332859,300m_roundtrip_10_e0023,300m_roundtrip_10,0.0,156,18.0,23,1.0,18.25,1.0,0.13617021276595745,378.60198974609375,-73.72307586669922,-35.4646110534668
1770273645.3296638,300m_roundtrip_10_e0023,300m_roundtrip_10,5.43659454014599,157,16.875,23,8.0,-0.18750008288770914,8.0,0.11968085106382978,371.5627784729004,-74.31643199920654,-33.85481834411621
1770273646.3399472,300m_roundtrip_10_e0023,300m_roundtrip_10,0.0,158,13.5,23,2.0,1.5199999511241913,1.0,0.16170212765957448,368.52259826660156,-75.83065795898438,-34.03720664978027
1770273647.3261209,300m_roundtrip_10_e0023,300m_roundtrip_10,1.9826967874391344,159,11.666666666666666,23,3.0,0.6999999930461248,2.0,0.16028368794326242,368.42218017578125,-76.35371907552083,-34.20135752360026
1770273648.3132696,300m_roundtrip_10_e0023,300m_roundtrip_10,0.0,160,19.0,23,1.0,-3.200000047683716,1.0,0.14468085106382977,370.0315246582031,-73.9345703125,-34.064640045166016
1770273649.314517,300m_roundtrip_10_e0023,300m_roundtrip_10,0.0,161,21.0,23,1.0,0.0,1.0,0.15319148936170213,372.27667236328125,-75.33953094482422,-33.40801239013672
1770273650.3372593,300m_roundtrip_10_e0023,300m_roundtrip_10,2.221050177929453,162,15.333333333333334,23,3.0,9.376667022705078,3.0,0.1148936170212766,377.04967244466144,-75.24572499593098,-34.80008443196615
1770273651.3393295,300m_roundtrip_10_e0023,300m_roundtrip_10,0.759383232567748,163,14.0,23,4.0,-15.470000267028809,2.0,0.14468085106382977,383.28250885009766,-76.20465469360352,-35.42941474914551
1770273652.3309116,300m_roundtrip_10_e0023,300m_roundtrip_10,1.8841345972509036,164,11.5,23,4.0,27.134999923873693,3.0,0.06063829787234042,384.86803436279297,-74.61871719360352,-35.28521537780762
1770273658.3176804,300m_roundtrip_10_e0024,300m_roundtrip_10,4.839617296031683,170,12.666666666666666,24,9.0,-1.3344443957838747,6.0,0.11583924349881797,394.88680691189234,-76.43725501166449,-36.19415707058377
1770273659.3358326,300m_roundtrip_10_e0024,300m_roundtrip_10,0.9775983615545331,171,13.5,24,4.0,8.070000229403377,4.0,0.13085106382978723,393.1256103515625,-76.12586975097656,-35.9329948425293
1770273660.316286,300m_roundtrip_10_e0024,300m_roundtrip_10,2.847711583853913,172,8.333333333333334,24,3.0,-0.02666666607062022,3.0,0.11631205673758865,391.3616027832031,-74.20986429850261,-35.75177001953125
1770273661.3299685,300m_roundtrip_10_e0024,300m_roundtrip_10,0.0,173,15.0,24,1.0,-0.029999999329447746,1.0,0.00425531914893617,393.2894592285156,-74.0484619140625,-37.0388069152832
1770273663.3171966,300m_roundtrip_10_e0024,300m_roundtrip_10,2.8931466471659544,175,12.5,24,4.0,1.0875000581145287,3.0,0.11063829787234042,398.8170623779297,-76.20043182373047,-36.39248466491699
1770273664.3297238,300m_roundtrip_10_e0024,300m_roundtrip_10,0.0,176,21.0,24,1.0,-10.289999961853027,1.0,0.0851063829787234,404.0512390136719,-77.35907745361328,-36.99272537231445
1770273665.3411624,300m_roundtrip_10_e0024,300m_roundtrip_10,0.0,177,8.0,24,1.0,-0.1899999976158142,1.0,0.05106382978723404,407.59783935546875,-77.9942626953125,-37.235225677490234
1770273666.3207862,300m_roundtrip_10_e0024,300m_roundtrip_10,0.4243293951310529,178,12.333333333333334,24,3.0,-0.026666666691501934,2.0,0.12198581560283688,406.9795328776042,-76.90531667073567,-37.35659408569336
1770273668.3367612,300m_roundtrip_10_e0024,300m_roundtrip_10,1.8024903668728185,180,14.0,24,4.0,-0.16249999776482582,3.0,0.08510638297872342,400.93528747558594,-75.7916259765625,-37.21254634857178
1770273493.3339264,300m_roundtrip_10_e0025,300m_roundtrip_10,0.9443915968932566,3,17.25,25,4.0,-0.4300000164657831,2.0,0.18829787234042553,372.63350677490234,-72.10959053039551,-33.53391075134277
1770273494.3280363,300m_roundtrip_10_e0025,300m_roundtrip_10,0.0,4,15.0,25,1.0,-0.15000000596046448,1.0,0.15319148936170213,372.44036865234375,-75.06410217285156,-33.57288360595703
1770273495.3391278,300m_roundtrip_10_e0025,300m_roundtrip_10,2.823355543251567,5,15.25,25,4.0,5.1050000339746475,3.0,0.07234042553191489,372.51126861572266,-75.60728073120117,-34.312188148498535
1770273496.3429077,300m_roundtrip_10_e0025,300m_roundtrip_10,0.0,6,16.0,25,1.0,-4.920000076293945,1.0,0.07659574468085106,369.8255920410156,-75.2857437133789,-34.12027359008789
1770273498.3299046,300m_roundtrip_10_e0025,300m_roundtrip_10,1.6768384199343938,8,15.666666666666666,25,3.0,0.8133332977692286,2.0,0.18581560283687945,367.14613850911456,-77.43375905354817,-33.99683507283529
1770273499.3440182,300m_roundtrip_10_e0025,300m_roundtrip_10,2.9267412008358726,9,16.25,25,4.0,0.7350000170990825,3.0,0.13829787234042554,368.41944885253906,-75.25353622436523,-34.18531322479248
1770273500.3284237,300m_roundtrip_10_e0025,300m_roundtrip_10,0.0,10,17.0,25,1.0,-4.03000020980835,1.0,0.14468085106382977,370.98388671875,-73.11839294433594,-34.15230941772461
1770273501.330976,300m_roundtrip_10_e0025,300m_roundtrip_10,0.0,11,16.0,25,1.0,-17.030000686645508,1.0,0.1276595744680851,375.846923828125,-74.04936981201172,-35.24445343017578
1770273502.3496609,300m_roundtrip_10_e0025,300m_roundtrip_10,4.684178920280633,12,12.75,25,4.0,7.250000123865902,4.0,0.08829787234042553,379.51261138916016,-74.49305152893066,-34.82075786590576
1770273503.3403416,300m_roundtrip_10_e0025,300m_roundtrip_10,1.0288279286700934,13,9.0,25,3.0,21.733333587646484,2.0,0.01702127659574468,379.94785563151044,-73.7672119140625,-34.45406977335612
1770273709.3116922,300m_roundtrip_10_e0026,300m_roundtrip_10,2.244738364773023,221,22.666666666666668,26,3.0,-9.170000712076822,3.0,0.11205673758865249,247.5521240234375,19.875877380371094,-22.19791539510091
1770273710.3231237,300m_roundtrip_10_e0026,300m_roundtrip_10,1.9137901560840305,222,17.333333333333332,26,3.0,17.49333318074544,3.0,0.10780141843971631,241.59441121419272,16.665093104044598,-21.66481653849284
1770273711.3140204,300m_roundtrip_10_e0026,300m_roundtrip_10,0.41659864801960494,223,18.0,26,3.0,-4.163333574930827,2.0,0.15886524822695033,235.99078877766928,12.04271666208903,-20.242446899414062
1770273712.3359785,300m_roundtrip_10_e0026,300m_roundtrip_10,0.0,224,23.0,26,1.0,-3.9800000190734863,1.0,0.16595744680851063,232.89028930664062,8.368609428405762,-18.952363967895508
1770273713.3365126,300m_roundtrip_10_e0026,300m_roundtrip_10,0.8040597664160928,225,26.666666666666668,26,3.0,7.873333126306534,2.0,0.1843971631205674,229.29190572102866,7.0390777587890625,-20.638490676879883
1770273714.3383386,300m_roundtrip_10_e0026,300m_roundtrip_10,0.0,226,21.0,26,1.0,15.600000381469727,1.0,0.04680851063829787,223.05357360839844,8.20022964477539,-20.01677131652832
1770273715.3375652,300m_roundtrip_10_e0026,300m_roundtrip_10,0.0,227,23.333333333333332,26,3.0,-0.07999999821186066,1.0,0.1957446808510638,218.00596618652344,9.040064811706543,-18.187382380167644
